Found 400 tasks
  task015: cost=    846000 score=11.4 (4.1s)
  task016: cost=     36000 score=14.5 (0.3s)
  task053: cost=     36240 score=14.5 (0.0s)
  task073: cost=    846000 score=11.4 (6.0s)
  task083: cost=     37840 score=14.5 (0.2s)
  task087: cost=     34160 score=14.6 (0.4s)
  task095: cost=    846000 score=11.4 (3.7s)
  task098: cost=    212896 score=12.7 (0.2s)
  task108: cost=    108000 score=13.4 (0.2s)
  task116: cost=    108000 score=13.4 (0.1s)
  task120: cost=    846000 score=11.4 (5.7s)
  task127: cost=    846000 score=11.4 (5.3s)
  task135: cost=     36360 score=14.5 (0.2s)
  task140: cost=     34160 score=14.6 (0.2s)
  task142: cost=     36640 score=14.5 (0.2s)
  task147: cost=   1620000 score=10.7 (9.3s)
  task152: cost=     36640 score=14.5 (0.2s)
  task164: cost=     36000 score=14.5 (0.2s)
  task166: cost=    148740 score=13.1 (0.1s)
  task171: cost=    846000 score=11.4 (6.1s)
  task172: cost=     36000 score=14.5 (0.2s)
  task179: cost=     36720 score=14.5 (0.2s)
  task188: cost=     36640 score=14.5 (0.1s)
  task194: cost=    108000 score=13.4 (0.1s)
  task210: cost=     36000 score=14.5 (0.2s)
  task211: cost=    108000 score=13.4 (0.1s)
  task214: cost=    108000 score=13.4 (0.3s)
  task220: cost=    846000 score=11.4 (4.3s)
  task223: cost=     39600 score=14.4 (0.2s)
  task230: cost=    846000 score=11.4 (6.0s)
  task258: cost=    846000 score=11.4 (5.8s)
  task261: cost=    846000 score=11.4 (4.2s)
  task266: cost=    846000 score=11.4 (6.0s)
  task272: cost=    828000 score=11.4 (10.1s)
  task276: cost=    126000 score=13.3 (0.1s)
  task282: cost=    846000 score=11.4 (4.3s)
  task294: cost=    846000 score=11.4 (5.2s)
  task307: cost=    108000 score=13.4 (0.1s)
  task309: cost=    126000 score=13.3 (0.1s)
  task311: cost=     36000 score=14.5 (0.2s)
  task317: cost=    846000 score=11.4 (3.9s)
  task326: cost=     36160 score=14.5 (0.2s)
  task331: cost=    846000 score=11.4 (5.4s)
  task337: cost=     36000 score=14.5 (0.2s)
  task352: cost=    846000 score=11.4 (5.7s)
  task373: cost=    108000 score=13.4 (0.1s)
  task380: cost=     35760 score=14.5 (0.3s)
  task385: cost=    108000 score=13.4 (0.3s)

48/400 solved, score=624.3 (5241s)
submission.zip: /kaggle/working/submission.zip (29.3 KB)
